,index,Names,Price,Prime,ImageURL
0,9,"HP 250 G7 15.6-inch Laptop, Intel Core i5-1035G1, 16 GB RAM, 512 GB SSD, No Optical, Windows 10 Pro",829.0,True,https://m.media-amazon.com/images/I/21xkvQlgBrL._AC_UY218_.jpg
1,3,"Lenovo IdeaPad S540 15.6 Inch FHD Laptop - (Intel Core i7, 8 GB RAM, 512 GB SSD, Windows 10 Home) - Mineral Grey",754.44,True,https://m.media-amazon.com/images/I/51wI5jcTEnL._AC_UY218_.jpg
2,5,"Microsoft Surface Laptop 3 Ultra-Thin 13” Touchscreen Laptop (Platinum) - Intel 10th Gen Quad Core i5, 8GB RAM, 128GB SSD, Windows 10 Home, 2019 Edition",747.6,True,https://m.media-amazon.com/images/I/61h2bz5B3hL._AC_UY218_.jpg
3,0,"CHUWI CoreBook Pro 13-inch Laptop, 8GB RAM 256GB SSD, Intel Core i3-6157U Processor, 2160x1440 Resolution, Windows 10, Dual Wifi, BT4.2, USB 3.0, Support 1T SSD 512GB TF Card Extension",399.99,True,https://m.media-amazon.com/images/I/71soa9YrFsL._AC_UY218_.jpg
4,1,"CHUWI GemiBook 13 Inch Ultra Thin Laptop, 12GB RAM, 256GB SSD, FHD (2160x1440) 4K Video Display, Intel Celeron J4115 Processor(Up to 2.5 GHZ), Windows 10, Fast Charge Support 512GB Micro SD 1TB SSD",379.99,True,https://m.media-amazon.com/images/I/71Tnf-aUNSS._AC_UY218_.jpg
5,14,"2021 15.6-inch laptop 8G + 256G Intel celeron J3455 high-performance quad-core CPU, 2PCS 4500mAh can work continuously for 6-8 hours, WIFI, HDMI, Bluetooth 4.0, Windows 10 (Silver 8G+256G)",368.0,True,https://m.media-amazon.com/images/I/61meo1ll-yL._AC_UY218_.jpg
6,6,"2020 Thin and light notebook,15.6 inch Laptop, IPS display, Intel 64-bit quad-core celeron_j4115 processor, 8GB RAM, 256GB M.2 SSD,Chocolate keyboard, Windows 10",328.0,True,https://m.media-amazon.com/images/I/61HbqIP6k+L._AC_UY218_.jpg
7,11,"Laptop 15.6 inch notebook computer, IPS display, Intel 64-bit quad-core　celeron_j3455 processor, 8GB RAM, 256GB SSD, scalable 1TB SSD solid state drive, 10000mAh high battery life, Windows 10",318.0,True,https://m.media-amazon.com/images/I/71+7D7qxJeL._AC_UY218_.jpg
8,20,"ASUS E406MA 14 Inch HD Laptop with Microsoft Office 365 (Intel N4000 Processor, 64 GB eMMC, 4 GB RAM, Windows 10 S)",282.81,True,https://m.media-amazon.com/images/I/51pYXus5cUL._AC_UY218_.jpg
9,4,"13.3 inch Laptop (Intel Celeron J3455 64-bit, 6GB DDR3 RAM, 128GB SSD, 5G Wifi, 10000mAH battery, HD webcam, Windows 10 OS, 1920 * 1080 FHD IPS display)",236.99,True,https://m.media-amazon.com/images/I/713n3fFQKeL._AC_UY218_.jpg
10,21,"Laptop 11.6-inch (IPS display, Intel 64-bit quad-core celeron j3455 processor, 8GB RAM, 128GB SSD,Windows 10 , USB 3.0, Dual Band Wifi, support 128GB Micro SD and 1TB SSD)Notebook computer",229.99,True,https://m.media-amazon.com/images/I/61uDIudV9EL._AC_UY218_.jpg
11,15,"Apple MacBook Pro MD101LL/A 13.3-inch Laptop (2.5Ghz, 4GB RAM, 500GB HD) (Renewed)",199.99,True,https://m.media-amazon.com/images/I/71UdZZTDBeS._AC_UY218_.jpg
12,13,"[3 Bonus Items] Simbans TangoTab 10 Inch Tablet with Keyboard 2-in-1 Laptop, 4GB RAM, 64 GB Storage, Android 10, Mini HDMI, Micro-USB - TXL",159.95,True,https://m.media-amazon.com/images/I/714-n+KrFgS._AC_UY218_.jpg
13,7,"Dell Chromebook 3180 11.6"" HD Laptop Intel Celeron N3060 Processor, 4GB RAM, 16GB eMMC, Chrome OS - Black (Renewed)",139.99,True,https://m.media-amazon.com/images/I/61YcVEftoSL._AC_UY218_.jpg
14,17,"DELL Chromebook 3120 Black 11.6"" 1366 x 768 pixels Intel Celeron N2840 2GB RAM DDR3L 16GB eMMC SSD Chrome OS (Renewed)",117.99,True,https://m.media-amazon.com/images/I/71rjULhCMiL._AC_UY218_.jpg
