,index,Names,Price,Prime,ImageURL
0,9,ProGrade Digital 1TB CFexpress Type B Memory Card (GOLD),719.0,True,https://m.media-amazon.com/images/I/81DyFHSeLcL._AC_UY218_.jpg
1,5,Memory UK QDG120F-2 Sony 120 GB (128 GB pre-format) 5 x robust XQD flash memory card (one card) - High Speed ​​G-2020 series (read 440 MB / s and write 400 MB / s),179.0,True,https://m.media-amazon.com/images/I/71vSZjJM9EL._AC_UY218_.jpg
2,13,SanDisk Shoot & Store 64MB SD Memory Card.,79.99,True,https://m.media-amazon.com/images/I/31NTM7K25GL._AC_UY218_.jpg
3,3,"256GB microSD Memory Card Micro SD Compatible with Samsung Galaxy S9 Plus S9 S8 S7 S6 S5 S4 S3 S10, J9 J8 J7 J6 J5 J3 J2 J1, A9 A8 A7 A6 A6+ A5 A4 A3, Note 9 8 7 6 5 4 3 2, Grand, Pro, Edge | 256 GB",44.99,True,https://m.media-amazon.com/images/I/71cpc0dgjUL._AC_UY218_.jpg
4,18,"256GB MicroSD Memory Card Class 10 Compatible with Nikon COOLPIX W100, W300, B600, A100, A300, A900, A1000 Digital Camera | Micro SD 256 GB",44.99,True,https://m.media-amazon.com/images/I/71cpc0dgjUL._AC_UY218_.jpg
5,14,"Gigastone 64GB 5-Pack Micro SD Card, 4K UHD Video, Surveillance Security Cam Action Camera Drone Professional, 90MB/s Micro SDXC UHS-I A1 Class 10",42.98,True,https://m.media-amazon.com/images/I/81zgP5jORML._AC_UY218_.jpg
6,19,"SD UHS-II 64GB Card V60 –Up to 130MB/s Write Speed and 250 MB/s Read Speed | For Professional Vloggers, Filmmakers, Photographers & Content Curators – By Prograde Digital",35.0,True,https://m.media-amazon.com/images/I/81K-nVWIf4L._AC_UY218_.jpg
7,11,"Transcend 64GB SDXC 700S Memory Card UHS- II, C10, U3, V90, 8K, Ultra HD, Up to 285/180 MB/s (Idea for DSLR cameras and advanced camcorders) TS64GSDC700S",34.6,True,https://m.media-amazon.com/images/I/610ZYFJ0XSL._AC_UY218_.jpg
8,15,"128GB SD Card Class 10 High Speed Memory Card Compatible with Nikon D3100, D3300, D3400, D5100, D5300, D5500, D5600, D7100, D7200, D7500, D610, D750, D810, D850, D810A Camera | UHS-1 U1 SDHC 128 GB",26.99,True,https://m.media-amazon.com/images/I/71+pk-Hxr3L._AC_UY218_.jpg
9,16,"KOOTION 128GB Micro SD Card microSDXC UHS-I Memory Card Up to 90MB/s 4K Video Record A1 App Performance TF Card High Speed – U3, V30, A1",21.99,True,https://m.media-amazon.com/images/I/61FFZwxOsIS._AC_UY218_.jpg
10,1,"Digi-Chip 128GB Micro-SD Memory Card UHS-1 For Samsung Galaxy A3, A5, A6, A6s,A7, A8, A9 On7 & J1NXT Phone Smartphone",20.88,True,https://m.media-amazon.com/images/I/41UFa5UdKkL._AC_UY218_.jpg
11,2,"Digi-Chip 128GB Micro-SD Memory Card UHS-1 High Speed For Samsung Galaxy S8, Samsung Galaxy S8+, S8 Plus, Samsung S9, S9+, S9 Plus, Galaxy S10, S10e, S10+ Smartphones",20.88,True,https://m.media-amazon.com/images/I/41AjidqP+gL._AC_UY218_.jpg
